location,epi_year,epi_week,last_day_of_epi_week,complete_epi_week,vaccine_dose,vaccinations_epi_week,total_vaccinations,pct_total_population
Peru,2022,8,2022-02-26,1,2,588024,24701471,73.00949687629588
Peru,2022,8,2022-02-26,1,3,602628,10590776,31.302881811757256
Peru,2022,9,2022-03-05,1,1,292819,28180035,83.29099822866453
Peru,2022,9,2022-03-05,1,2,493333,25194804,74.46762842329863
Peru,2022,9,2022-03-05,1,3,501542,11092318,32.78527648705134
Peru,2022,10,2022-03-12,1,1,273149,28453184,84.09833764024305
Peru,2022,10,2022-03-12,1,2,387159,25581963,75.61194423352426
Peru,2022,10,2022-03-12,1,3,436582,11528900,34.07567057593969
Peru,2022,11,2022-03-19,1,1,189714,28642898,84.65907038730857
Peru,2022,11,2022-03-19,1,2,298924,25880887,76.49546614378822
Peru,2022,11,2022-03-19,1,3,451268,11980168,35.40947169395296
Peru,2022,12,2022-03-26,1,1,143281,28786179,85.0825623211263
Peru,2022,12,2022-03-26,1,2,270703,26151590,77.29557597663599
Peru,2022,12,2022-03-26,1,3,570555,12550723,37.09584630258477
Peru,2022,13,2022-04-02,1,1,114115,28900294,85.41984906554887
Peru,2022,13,2022-04-02,1,2,232551,26384141,77.982920933059
Peru,2022,13,2022-04-02,1,3,926451,13477174,39.83413348356039
Peru,2022,13,2022-04-02,1,4,1467,1467,0.004335973834008754
Peru,2022,14,2022-04-09,1,1,94645,28994939,85.69958883618266
Peru,2022,14,2022-04-09,1,2,199600,26583741,78.57287347380075
Peru,2022,14,2022-04-09,1,3,833701,14310875,42.29828189623042
Peru,2022,14,2022-04-09,1,4,23122,24589,0.07267706926001449
Peru,2022,15,2022-04-16,1,1,76012,29070951,85.92425553220902
Peru,2022,15,2022-04-16,1,2,160969,26744710,79.04864537024694
Peru,2022,15,2022-04-16,1,3,645279,14956154,44.20551629270986
Peru,2022,15,2022-04-16,1,4,47265,71854,0.2123770033189264
Peru,2022,16,2022-04-23,1,1,88749,29159700,86.18656864863331
Peru,2022,16,2022-04-23,1,2,186903,26931613,79.60106971755283
Peru,2022,16,2022-04-23,1,3,648961,15605115,46.12363348104807
Peru,2022,16,2022-04-23,1,4,79073,150927,0.44609101761788633
Peru,2022,17,2022-04-30,1,1,104346,29264046,86.49498141324372
Peru,2022,17,2022-04-30,1,2,194932,27126545,80.17722517182072
Peru,2022,17,2022-04-30,1,3,653627,16258742,48.055541844512035
Peru,2022,17,2022-04-30,1,4,72929,223856,0.661645370542511
Peru,2022,18,2022-05-07,1,1,36467,29300513,86.60276597889117
Peru,2022,18,2022-05-07,1,2,65791,27192336,80.37168192336351
Peru,2022,18,2022-05-07,1,3,381535,16640277,49.183234943870275
Peru,2022,18,2022-05-07,1,4,86104,309960,0.9161407290997637
Peru,2022,19,2022-05-14,1,1,35082,29335595,86.70645693597685
Peru,2022,19,2022-05-14,1,2,70639,27262975,80.58046778270949
Peru,2022,19,2022-05-14,1,3,344428,16984705,50.2012518461879
Peru,2022,19,2022-05-14,1,4,164811,474771,1.4032683252530131
Peru,2022,20,2022-05-21,1,1,39707,29375302,86.82381788555216
Peru,2022,20,2022-05-21,1,2,88383,27351358,80.84169912243081
Peru,2022,20,2022-05-21,1,3,355812,17340517,51.25291614191137
Peru,2022,20,2022-05-21,1,4,178947,653718,1.932177329802682
Peru,2022,21,2022-05-28,1,1,43531,29418833,86.95248133270161
Peru,2022,21,2022-05-28,1,2,91858,27443216,81.1132014294822
Peru,2022,21,2022-05-28,1,3,343970,17684487,52.26957934551327
Peru,2022,21,2022-05-28,1,4,211897,865615,2.558475794359569
Peru,2022,22,2022-06-04,1,1,35616,29454449,87.05775061973095
Peru,2022,22,2022-06-04,1,2,67827,27511043,81.31367593339448
Peru,2022,22,2022-06-04,1,3,282508,17966995,53.10458091054268
Peru,2022,22,2022-06-04,1,4,195035,1060650,3.1349356830547954
Peru,2022,23,2022-06-11,1,1,34839,29489288,87.16072334802205
Peru,2022,23,2022-06-11,1,2,64856,27575899,81.50536912969882
Peru,2022,23,2022-06-11,1,3,259852,18226847,53.87261872425423
Peru,2022,23,2022-06-11,1,4,209923,1270573,3.755399647033405
Peru,2022,24,2022-06-18,1,1,31388,29520676,87.25349604516033
Peru,2022,24,2022-06-18,1,2,58693,27634592,81.67884650682184
Peru,2022,24,2022-06-18,1,3,226285,18453132,54.54144342706859
Peru,2022,24,2022-06-18,1,4,225004,1495577,4.420438131387396
Peru,2022,25,2022-06-25,1,1,27838,29548514,87.33577609941469
Peru,2022,25,2022-06-25,1,2,53590,27688182,81.83724107925846
Peru,2022,25,2022-06-25,1,3,203730,18656862,55.14360290164433
Peru,2022,25,2022-06-25,1,4,293693,1789270,5.288498910686328
Peru,2022,26,2022-07-02,1,1,27408,29575922,87.41678521382676
Peru,2022,26,2022-07-02,1,2,50604,27738786,81.98681000897638
Peru,2022,26,2022-07-02,1,3,201381,18858243,55.738819497872356
Peru,2022,26,2022-07-02,1,4,341946,2131216,6.299179830007363
Peru,2022,27,2022-07-09,1,1,26908,29602830,87.49631649121292
Peru,2022,27,2022-07-09,1,2,47687,27786473,82.12775723748516
